Education Level,Count
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8629
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5000
Some college/university study without earning a degree,2456
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1143
"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",661
"Associate degree (A.A., A.S., etc.)",634
Something else,190
Primary/elementary school,132
